cloud	e_quantity	order	time [Myr]	value
M3	e_zeta	1	 0.0	   0.0296
M3	e_zeta	1	 0.1	   0.0303
M3	e_zeta	1	 0.2	   0.0297
M3	e_zeta	1	 0.3	   0.0306
M3	e_zeta	1	 0.4	   0.0291
M3	e_zeta	1	 0.5	   0.0269
M3	e_zeta	1	 0.6	   0.0250
M3	e_zeta	1	 0.7	   0.0230
M3	e_zeta	1	 0.8	   0.0233
M3	e_zeta	1	 0.9	   0.0237
M3	e_zeta	1	 1.0	   0.0249
M3	e_zeta	1	 1.1	   0.0259
M3	e_zeta	1	 1.2	   0.0273
M3	e_zeta	1	 1.3	   0.0282
M3	e_zeta	1	 1.4	   0.0298
M3	e_zeta	1	 1.5	   0.0305
M3	e_zeta	1	 1.6	   0.0332
M3	e_zeta	1	 1.7	   0.0306
M3	e_zeta	1	 1.8	   0.0273
M3	e_zeta	1	 1.9	   0.0283
M3	e_zeta	1	 2.0	   0.0244
M3	e_zeta	1	 2.1	   0.0186
M3	e_zeta	1	 2.2	   0.0128
M3	e_zeta	1	 2.3	   0.0105
M3	e_zeta	1	 2.4	   0.0134
M3	e_zeta	1	 2.5	   0.0184
M3	e_zeta	1	 2.6	   0.0247
M3	e_zeta	1	 2.7	   0.0295
M3	e_zeta	1	 2.8	   0.0349
M3	e_zeta	1	 2.9	   0.0428
M3	e_zeta	1	 3.0	   0.0440
M3	e_zeta	1	 3.1	   0.0445
M3	e_zeta	1	 3.2	   0.0523
M3	e_zeta	1	 3.3	   0.0564
M3	e_zeta	1	 3.4	   0.0506
M3	e_zeta	1	 3.5	   0.0451
M3	e_zeta	1	 3.6	   0.0338
M3	e_zeta	1	 3.7	   0.0275
M3	e_zeta	1	 3.8	   0.0255
M3	e_zeta	1	 3.9	   0.0202
M3	e_zeta	1	 4.0	   0.0283
M3	e_zeta	1	 4.1	   0.0268
M3	e_zeta	1	 4.2	   0.0350
M3	e_zeta	1	 4.3	   0.0535
M3	e_zeta	1	 4.4	   0.0644
M3	e_zeta	1	 4.5	   0.0655
M3	e_zeta	1	 5.0	   0.0919
M3	e_zeta	1	 5.5	   0.1095
M3	e_zeta	1	 6.0	   0.0836
M3	e_zeta	2	 0.0	   0.0629
M3	e_zeta	2	 0.1	   0.0631
M3	e_zeta	2	 0.2	   0.0578
M3	e_zeta	2	 0.3	   0.0597
M3	e_zeta	2	 0.4	   0.0550
M3	e_zeta	2	 0.5	   0.0483
M3	e_zeta	2	 0.6	   0.0431
M3	e_zeta	2	 0.7	   0.0374
M3	e_zeta	2	 0.8	   0.0377
M3	e_zeta	2	 0.9	   0.0392
M3	e_zeta	2	 1.0	   0.0420
M3	e_zeta	2	 1.1	   0.0438
M3	e_zeta	2	 1.2	   0.0464
M3	e_zeta	2	 1.3	   0.0481
M3	e_zeta	2	 1.4	   0.0539
M3	e_zeta	2	 1.5	   0.0828
M3	e_zeta	2	 1.6	   0.1021
M3	e_zeta	2	 1.7	   0.0837
M3	e_zeta	2	 1.8	   0.0624
M3	e_zeta	2	 1.9	   0.0574
M3	e_zeta	2	 2.0	   0.0513
M3	e_zeta	2	 2.1	   0.0419
M3	e_zeta	2	 2.2	   0.0323
M3	e_zeta	2	 2.3	   0.0239
M3	e_zeta	2	 2.4	   0.0211
M3	e_zeta	2	 2.5	   0.0288
M3	e_zeta	2	 2.6	   0.0449
M3	e_zeta	2	 2.7	   0.0568
M3	e_zeta	2	 2.8	   0.0734
M3	e_zeta	2	 2.9	   0.0936
M3	e_zeta	2	 3.0	   0.1010
M3	e_zeta	2	 3.1	   0.1020
M3	e_zeta	2	 3.2	   0.1195
M3	e_zeta	2	 3.3	   0.1268
M3	e_zeta	2	 3.4	   0.1091
M3	e_zeta	2	 3.5	   0.1159
M3	e_zeta	2	 3.6	   0.0687
M3	e_zeta	2	 3.7	   0.0524
M3	e_zeta	2	 3.8	   0.0491
M3	e_zeta	2	 3.9	   0.0348
M3	e_zeta	2	 4.0	   0.0446
M3	e_zeta	2	 4.1	   0.0431
M3	e_zeta	2	 4.2	   0.0588
M3	e_zeta	2	 4.3	   0.0885
M3	e_zeta	2	 4.4	   0.1192
M3	e_zeta	2	 4.5	   0.1176
M3	e_zeta	2	 5.0	   0.1737
M3	e_zeta	2	 5.5	   0.2046
M3	e_zeta	2	 6.0	   0.1465
M3	e_zeta	3	 0.0	   0.0982
M3	e_zeta	3	 0.1	   0.0961
