time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	6.266e-01	1.216e+00	1.807e+00	2.398e+00	2.983e+00	3.553e+00	4.106e+00
 0.1	6.315e-01	1.220e+00	1.805e+00	2.391e+00	2.967e+00	3.525e+00	4.060e+00
 0.2	6.281e-01	1.203e+00	1.770e+00	2.336e+00	2.895e+00	3.436e+00	3.950e+00
 0.3	6.211e-01	1.176e+00	1.718e+00	2.265e+00	2.814e+00	3.350e+00	3.860e+00
 0.4	6.081e-01	1.138e+00	1.652e+00	2.177e+00	2.712e+00	3.245e+00	3.759e+00
 0.5	5.938e-01	1.095e+00	1.571e+00	2.061e+00	2.571e+00	3.094e+00	3.617e+00
 0.6	5.754e-01	1.045e+00	1.484e+00	1.932e+00	2.403e+00	2.891e+00	3.383e+00
 0.7	5.552e-01	9.906e-01	1.387e+00	1.795e+00	2.233e+00	2.697e+00	3.176e+00
 0.8	5.360e-01	9.463e-01	1.310e+00	1.681e+00	2.080e+00	2.505e+00	2.948e+00
 0.9	5.170e-01	9.099e-01	1.259e+00	1.619e+00	2.010e+00	2.434e+00	2.876e+00
 1.0	4.986e-01	8.751e-01	1.205e+00	1.543e+00	1.915e+00	2.323e+00	2.758e+00
 1.1	4.783e-01	8.365e-01	1.144e+00	1.452e+00	1.788e+00	2.153e+00	2.530e+00
 1.2	4.571e-01	7.963e-01	1.083e+00	1.369e+00	1.684e+00	2.033e+00	2.413e+00
 1.3	4.305e-01	7.450e-01	1.007e+00	1.264e+00	1.539e+00	1.838e+00	2.149e+00
 1.4	4.149e-01	7.276e-01	9.939e-01	1.254e+00	1.547e+00	1.939e+00	2.553e+00
 1.5	4.386e-01	8.875e-01	1.520e+00	2.400e+00	3.409e+00	4.426e+00	5.383e+00
 1.6	4.372e-01	9.372e-01	1.682e+00	2.671e+00	3.760e+00	4.854e+00	5.903e+00
 1.7	4.171e-01	8.649e-01	1.485e+00	2.316e+00	3.267e+00	4.238e+00	5.175e+00
 1.8	3.897e-01	7.757e-01	1.247e+00	1.863e+00	2.595e+00	3.380e+00	4.176e+00
 1.9	3.432e-01	6.342e-01	8.899e-01	1.124e+00	1.346e+00	1.566e+00	1.791e+00
 2.0	3.118e-01	5.741e-01	8.027e-01	1.008e+00	1.198e+00	1.380e+00	1.564e+00
 2.1	2.924e-01	5.382e-01	7.454e-01	9.165e-01	1.053e+00	1.158e+00	1.240e+00
 2.2	2.768e-01	5.168e-01	7.224e-01	8.928e-01	1.026e+00	1.121e+00	1.180e+00
 2.3	2.472e-01	4.746e-01	6.818e-01	8.699e-01	1.042e+00	1.197e+00	1.337e+00
 2.4	2.072e-01	3.996e-01	5.768e-01	7.382e-01	8.853e-01	1.022e+00	1.150e+00
 2.5	1.679e-01	3.132e-01	4.356e-01	5.353e-01	6.151e-01	6.791e-01	7.315e-01
 2.6	1.324e-01	2.259e-01	2.825e-01	3.013e-01	2.865e-01	2.452e-01	1.863e-01
 2.7	1.071e-01	1.694e-01	1.909e-01	1.706e-01	1.086e-01	8.241e-03	-1.228e-01
 2.8	8.730e-02	1.113e-01	8.338e-02	1.105e-02	-9.370e-02	-2.143e-01	-3.350e-01
 2.9	5.443e-02	4.675e-03	-1.205e-01	-2.961e-01	-5.034e-01	-7.273e-01	-9.552e-01
 3.0	2.884e-02	-5.857e-02	-2.162e-01	-4.079e-01	-6.080e-01	-7.984e-01	-9.688e-01
 3.1	1.653e-02	-7.675e-02	-2.352e-01	-4.238e-01	-6.191e-01	-8.080e-01	-9.837e-01
 3.2	-2.161e-02	-1.598e-01	-3.644e-01	-5.980e-01	-8.356e-01	-1.063e+00	-1.270e+00
 3.3	-4.747e-02	-2.095e-01	-4.418e-01	-7.049e-01	-9.641e-01	-1.188e+00	-1.346e+00
 3.4	-3.095e-02	-1.490e-01	-3.291e-01	-5.469e-01	-7.755e-01	-9.860e-01	-1.149e+00
 3.5	6.000e-02	2.779e-01	7.724e-01	1.475e+00	2.229e+00	2.914e+00	3.447e+00
 3.6	1.870e-01	4.118e-01	7.319e-01	1.187e+00	1.752e+00	2.356e+00	2.943e+00
 3.7	1.754e-01	3.516e-01	5.533e-01	8.063e-01	1.138e+00	1.550e+00	2.000e+00
 3.8	1.177e-01	2.135e-01	3.063e-01	4.174e-01	5.609e-01	7.404e-01	9.535e-01
 3.9	9.802e-02	1.747e-01	2.451e-01	3.259e-01	4.286e-01	5.593e-01	7.159e-01
 4.0	5.979e-02	9.910e-02	1.089e-01	9.627e-02	8.129e-02	9.134e-02	1.639e-01
 4.1	6.218e-02	1.039e-01	1.289e-01	1.515e-01	1.880e-01	2.517e-01	3.517e-01
 4.2	3.748e-02	4.836e-02	4.690e-02	5.325e-02	8.336e-02	1.481e-01	2.507e-01
 4.3	-3.489e-02	-6.911e-02	-1.041e-01	-1.330e-01	-1.424e-01	-1.202e-01	-5.971e-02
 4.4	-8.056e-02	-1.927e-01	-3.247e-01	-4.625e-01	-5.893e-01	-6.918e-01	-7.614e-01
 4.5	-9.481e-02	-2.006e-01	-3.014e-01	-3.884e-01	-4.569e-01	-5.058e-01	-5.344e-01
 5.0	-1.730e-01	-3.356e-01	-4.600e-01	-5.447e-01	-5.961e-01	-6.219e-01	-6.260e-01
 5.5	-2.192e-01	-4.093e-01	-5.431e-01	-6.214e-01	-6.542e-01	-6.550e-01	-6.360e-01
 6.0	-1.818e-01	-3.307e-01	-4.287e-01	-4.794e-01	-4.921e-01	-4.766e-01	-4.404e-01
