time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	5.778e-01	1.106e+00	1.650e+00	2.176e+00	2.653e+00	3.079e+00	3.470e+00
 0.1	5.880e-01	1.081e+00	1.578e+00	2.077e+00	2.558e+00	3.012e+00	3.441e+00
 0.2	5.732e-01	1.023e+00	1.476e+00	1.963e+00	2.482e+00	3.038e+00	3.657e+00
 0.3	5.611e-01	9.804e-01	1.396e+00	1.852e+00	2.340e+00	2.842e+00	3.344e+00
 0.4	5.398e-01	9.270e-01	1.297e+00	1.710e+00	2.172e+00	2.667e+00	3.178e+00
 0.5	5.217e-01	8.742e-01	1.188e+00	1.540e+00	1.951e+00	2.410e+00	2.903e+00
 0.6	4.991e-01	8.197e-01	1.076e+00	1.354e+00	1.686e+00	2.068e+00	2.491e+00
 0.7	4.853e-01	7.706e-01	9.673e-01	1.174e+00	1.430e+00	1.737e+00	2.086e+00
 0.8	4.767e-01	7.311e-01	8.694e-01	9.933e-01	1.157e+00	1.371e+00	1.635e+00
 0.9	4.717e-01	7.018e-01	7.989e-01	8.663e-01	9.617e-01	1.104e+00	1.294e+00
 1.0	4.699e-01	6.806e-01	7.346e-01	7.389e-01	7.614e-01	8.293e-01	9.459e-01
 1.1	4.670e-01	6.668e-01	7.023e-01	6.757e-01	6.699e-01	7.351e-01	9.064e-01
 1.2	4.670e-01	6.604e-01	6.880e-01	6.415e-01	5.907e-01	5.781e-01	6.221e-01
 1.3	4.696e-01	6.683e-01	7.060e-01	6.608e-01	5.929e-01	5.462e-01	5.486e-01
 1.4	4.895e-01	7.854e-01	9.525e-01	1.065e+00	1.279e+00	1.967e+00	3.425e+00
 1.5	5.154e-01	1.175e+00	2.457e+00	4.320e+00	6.290e+00	8.097e+00	9.642e+00
 1.6	5.379e-01	1.306e+00	2.791e+00	4.867e+00	7.054e+00	9.138e+00	1.106e+01
 1.7	5.112e-01	1.135e+00	2.267e+00	4.037e+00	6.067e+00	8.074e+00	9.966e+00
 1.8	4.896e-01	9.549e-01	1.597e+00	2.714e+00	4.299e+00	6.056e+00	7.779e+00
 1.9	4.644e-01	8.161e-01	1.070e+00	1.271e+00	1.445e+00	1.612e+00	1.791e+00
 2.0	4.469e-01	7.897e-01	1.041e+00	1.240e+00	1.411e+00	1.568e+00	1.712e+00
 2.1	4.105e-01	7.521e-01	9.960e-01	1.185e+00	1.354e+00	1.518e+00	1.686e+00
 2.2	3.932e-01	7.202e-01	9.362e-01	1.090e+00	1.220e+00	1.348e+00	1.483e+00
 2.3	4.120e-01	7.079e-01	8.795e-01	9.806e-01	1.050e+00	1.111e+00	1.172e+00
 2.4	4.139e-01	6.825e-01	8.018e-01	8.311e-01	8.122e-01	7.673e-01	7.078e-01
 2.5	4.158e-01	6.515e-01	7.099e-01	6.589e-01	5.428e-01	3.829e-01	1.960e-01
 2.6	4.345e-01	6.502e-01	6.717e-01	5.594e-01	3.586e-01	9.445e-02	-2.103e-01
 2.7	4.388e-01	7.053e-01	7.774e-01	6.986e-01	5.038e-01	2.197e-01	-1.293e-01
 2.8	4.682e-01	8.235e-01	9.957e-01	1.019e+00	9.223e-01	7.330e-01	4.738e-01
 2.9	5.068e-01	8.818e-01	1.103e+00	1.210e+00	1.230e+00	1.180e+00	1.072e+00
 3.0	5.200e-01	8.897e-01	1.135e+00	1.291e+00	1.372e+00	1.393e+00	1.362e+00
 3.1	5.607e-01	9.848e-01	1.279e+00	1.468e+00	1.568e+00	1.603e+00	1.591e+00
 3.2	5.728e-01	9.686e-01	1.184e+00	1.258e+00	1.233e+00	1.136e+00	9.936e-01
 3.3	5.049e-01	8.517e-01	1.002e+00	1.025e+00	9.625e-01	8.405e-01	6.754e-01
 3.4	3.880e-01	5.948e-01	6.533e-01	6.275e-01	5.441e-01	4.105e-01	2.307e-01
 3.5	3.647e-01	1.095e+00	1.903e+00	2.679e+00	3.297e+00	3.636e+00	3.726e+00
 3.6	5.460e-01	1.033e+00	1.421e+00	1.705e+00	1.841e+00	1.820e+00	1.719e+00
 3.7	5.979e-01	9.355e-01	1.190e+00	1.469e+00	1.811e+00	2.177e+00	2.504e+00
 3.8	5.737e-01	7.971e-01	9.566e-01	1.184e+00	1.515e+00	1.935e+00	2.391e+00
 3.9	4.268e-01	6.224e-01	8.362e-01	1.134e+00	1.512e+00	1.944e+00	2.399e+00
 4.0	2.637e-01	4.856e-01	7.303e-01	1.017e+00	1.345e+00	1.701e+00	2.065e+00
 4.1	3.810e-01	5.287e-01	6.589e-01	8.459e-01	1.098e+00	1.411e+00	1.771e+00
 4.2	3.009e-01	4.037e-01	5.294e-01	7.303e-01	9.984e-01	1.318e+00	1.678e+00
 4.3	-1.231e-01	-8.779e-02	3.083e-02	1.876e-01	3.606e-01	5.456e-01	7.461e-01
 4.4	2.499e-01	3.084e-01	2.893e-01	2.666e-01	2.495e-01	2.317e-01	2.099e-01
 4.5	1.594e-01	1.411e-01	-1.042e-01	-4.320e-01	-7.589e-01	-1.056e+00	-1.316e+00
 5.0	-3.248e-01	-4.991e-01	-7.106e-01	-9.262e-01	-1.083e+00	-1.141e+00	-1.097e+00
 5.5	-2.887e-01	-1.840e-01	2.143e-04	1.410e-01	2.281e-01	3.077e-01	4.379e-01
 6.0	6.601e-02	1.816e-01	3.321e-01	4.533e-01	5.196e-01	5.260e-01	4.755e-01
