time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	5.912e-01	1.344e+00	2.160e+00	2.959e+00	3.726e+00	4.472e+00	5.212e+00
 0.1	6.267e-01	1.414e+00	2.263e+00	3.081e+00	3.851e+00	4.583e+00	5.293e+00
 0.2	6.521e-01	1.459e+00	2.312e+00	3.112e+00	3.837e+00	4.500e+00	5.116e+00
 0.3	6.749e-01	1.490e+00	2.354e+00	3.159e+00	3.870e+00	4.492e+00	5.034e+00
 0.4	6.973e-01	1.553e+00	2.463e+00	3.312e+00	4.062e+00	4.719e+00	5.298e+00
 0.5	7.186e-01	1.592e+00	2.545e+00	3.461e+00	4.305e+00	5.087e+00	5.821e+00
 0.6	7.338e-01	1.614e+00	2.564e+00	3.480e+00	4.333e+00	5.133e+00	5.896e+00
 0.7	7.401e-01	1.630e+00	2.600e+00	3.559e+00	4.471e+00	5.343e+00	6.189e+00
 0.8	7.384e-01	1.611e+00	2.557e+00	3.493e+00	4.385e+00	5.241e+00	6.075e+00
 0.9	7.214e-01	1.552e+00	2.441e+00	3.321e+00	4.166e+00	4.982e+00	5.779e+00
 1.0	6.968e-01	1.477e+00	2.297e+00	3.109e+00	3.894e+00	4.655e+00	5.403e+00
 1.1	6.619e-01	1.377e+00	2.116e+00	2.845e+00	3.553e+00	4.247e+00	4.934e+00
 1.2	6.167e-01	1.290e+00	1.983e+00	2.667e+00	3.337e+00	3.998e+00	4.655e+00
 1.3	5.605e-01	1.184e+00	1.831e+00	2.475e+00	3.111e+00	3.740e+00	4.368e+00
 1.4	5.045e-01	1.076e+00	1.679e+00	2.286e+00	2.887e+00	3.481e+00	4.073e+00
 1.5	4.722e-01	1.008e+00	1.569e+00	2.134e+00	2.695e+00	3.247e+00	3.793e+00
 1.6	4.178e-01	9.030e-01	1.421e+00	1.960e+00	2.505e+00	3.048e+00	3.582e+00
 1.7	3.948e-01	8.576e-01	1.366e+00	1.903e+00	2.451e+00	2.991e+00	3.513e+00
 1.8	3.650e-01	7.839e-01	1.264e+00	1.786e+00	2.324e+00	2.854e+00	3.358e+00
 1.9	3.318e-01	7.078e-01	1.159e+00	1.658e+00	2.169e+00	2.657e+00	3.100e+00
 2.0	3.001e-01	6.515e-01	1.080e+00	1.547e+00	2.016e+00	2.455e+00	2.841e+00
 2.1	2.864e-01	6.505e-01	1.067e+00	1.487e+00	1.879e+00	2.226e+00	2.524e+00
 2.2	2.972e-01	6.830e-01	1.083e+00	1.448e+00	1.765e+00	2.039e+00	2.284e+00
 2.3	3.110e-01	6.866e-01	1.040e+00	1.327e+00	1.554e+00	1.737e+00	1.894e+00
 2.4	2.924e-01	6.151e-01	8.938e-01	1.099e+00	1.244e+00	1.348e+00	1.433e+00
 2.5	2.450e-01	5.060e-01	7.252e-01	8.819e-01	9.871e-01	1.058e+00	1.109e+00
 2.6	1.852e-01	3.775e-01	5.238e-01	6.082e-01	6.358e-01	6.213e-01	5.766e-01
 2.7	1.504e-01	2.631e-01	2.985e-01	2.416e-01	9.913e-02	-1.003e-01	-3.161e-01
 2.8	1.410e-01	1.304e-01	-3.364e-02	-3.166e-01	-6.450e-01	-9.507e-01	-1.205e+00
 2.9	8.776e-02	-2.230e-02	-3.142e-01	-7.032e-01	-1.094e+00	-1.431e+00	-1.701e+00
 3.0	5.697e-02	-1.274e-01	-4.826e-01	-9.225e-01	-1.364e+00	-1.759e+00	-2.100e+00
 3.1	3.589e-02	-2.028e-01	-6.076e-01	-1.069e+00	-1.517e+00	-1.921e+00	-2.261e+00
 3.2	-2.720e-02	-3.653e-01	-9.035e-01	-1.493e+00	-2.022e+00	-2.434e+00	-2.701e+00
 3.3	-6.306e-02	-5.105e-01	-1.156e+00	-1.795e+00	-2.261e+00	-2.466e+00	-2.386e+00
 3.4	-4.043e-02	-4.005e-01	-9.468e-01	-1.522e+00	-1.976e+00	-2.223e+00	-2.252e+00
 3.5	3.107e-01	6.701e-01	1.340e+00	2.357e+00	3.294e+00	3.865e+00	4.148e+00
 3.6	4.812e-01	8.252e-01	1.179e+00	1.705e+00	2.381e+00	3.058e+00	3.611e+00
 3.7	4.467e-01	7.339e-01	8.985e-01	1.049e+00	1.300e+00	1.713e+00	2.272e+00
 3.8	3.807e-01	5.628e-01	5.178e-01	3.605e-01	1.975e-01	8.078e-02	2.706e-02
 3.9	2.763e-01	3.483e-01	2.328e-01	6.129e-02	-6.945e-02	-1.132e-01	-6.043e-02
 4.0	1.124e-01	5.305e-02	-1.629e-01	-4.184e-01	-5.913e-01	-5.549e-01	-1.762e-01
 4.1	5.742e-02	-2.738e-02	-2.105e-01	-3.695e-01	-4.202e-01	-3.193e-01	-6.808e-02
 4.2	-1.351e-03	-1.715e-01	-4.090e-01	-5.996e-01	-6.836e-01	-6.389e-01	-4.708e-01
 4.3	-4.618e-02	-2.181e-01	-4.897e-01	-7.665e-01	-9.763e-01	-1.089e+00	-1.098e+00
 4.4	-1.538e-01	-4.969e-01	-9.858e-01	-1.502e+00	-1.972e+00	-2.363e+00	-2.662e+00
 4.5	-1.483e-01	-3.269e-01	-5.689e-01	-8.233e-01	-1.039e+00	-1.186e+00	-1.250e+00
 5.0	-5.663e-01	-9.895e-01	-1.281e+00	-1.498e+00	-1.679e+00	-1.840e+00	-1.991e+00
 5.5	-8.958e-01	-1.650e+00	-2.211e+00	-2.580e+00	-2.794e+00	-2.903e+00	-2.950e+00
 6.0	-6.910e-01	-1.317e+00	-1.809e+00	-2.139e+00	-2.323e+00	-2.396e+00	-2.394e+00
