time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	4.755e-01	9.563e-01	1.437e+00	1.921e+00	2.407e+00	2.887e+00	3.359e+00
 0.1	4.978e-01	9.826e-01	1.460e+00	1.939e+00	2.416e+00	2.886e+00	3.342e+00
 0.2	5.010e-01	9.759e-01	1.427e+00	1.859e+00	2.277e+00	2.683e+00	3.074e+00
 0.3	5.081e-01	9.831e-01	1.425e+00	1.846e+00	2.257e+00	2.658e+00	3.053e+00
 0.4	5.096e-01	9.779e-01	1.399e+00	1.788e+00	2.158e+00	2.517e+00	2.873e+00
 0.5	5.140e-01	9.640e-01	1.354e+00	1.702e+00	2.021e+00	2.322e+00	2.613e+00
 0.6	5.156e-01	9.558e-01	1.333e+00	1.668e+00	1.979e+00	2.277e+00	2.573e+00
 0.7	5.051e-01	9.285e-01	1.296e+00	1.626e+00	1.942e+00	2.257e+00	2.581e+00
 0.8	4.843e-01	8.920e-01	1.242e+00	1.561e+00	1.875e+00	2.199e+00	2.539e+00
 0.9	4.601e-01	8.410e-01	1.164e+00	1.464e+00	1.770e+00	2.099e+00	2.457e+00
 1.0	4.326e-01	7.699e-01	1.041e+00	1.281e+00	1.517e+00	1.766e+00	2.036e+00
 1.1	4.037e-01	6.951e-01	9.138e-01	1.093e+00	1.262e+00	1.442e+00	1.643e+00
 1.2	3.712e-01	6.183e-01	7.949e-01	9.361e-01	1.065e+00	1.198e+00	1.346e+00
 1.3	3.351e-01	5.368e-01	6.705e-01	7.746e-01	8.690e-01	9.671e-01	1.074e+00
 1.4	3.116e-01	5.001e-01	6.349e-01	7.590e-01	9.146e-01	1.211e+00	1.863e+00
 1.5	3.398e-01	6.756e-01	1.193e+00	1.945e+00	2.779e+00	3.442e+00	3.783e+00
 1.6	3.194e-01	7.530e-01	1.545e+00	2.691e+00	3.910e+00	4.944e+00	5.689e+00
 1.7	2.742e-01	7.002e-01	1.563e+00	2.835e+00	4.141e+00	5.212e+00	6.008e+00
 1.8	1.906e-01	4.410e-01	9.158e-01	1.690e+00	2.602e+00	3.427e+00	4.089e+00
 1.9	1.204e-01	2.224e-01	3.228e-01	4.070e-01	4.598e-01	4.744e-01	4.658e-01
 2.0	9.695e-02	1.585e-01	1.961e-01	2.064e-01	1.934e-01	1.724e-01	1.583e-01
 2.1	1.026e-01	1.585e-01	1.713e-01	1.442e-01	9.319e-02	4.299e-02	1.070e-02
 2.2	1.035e-01	1.730e-01	2.149e-01	2.206e-01	1.881e-01	1.223e-01	3.535e-02
 2.3	8.079e-02	1.561e-01	2.255e-01	2.898e-01	3.457e-01	3.852e-01	3.962e-01
 2.4	3.376e-02	5.705e-02	8.889e-02	1.290e-01	1.777e-01	2.360e-01	3.052e-01
 2.5	5.890e-03	-1.456e-02	-3.681e-02	-6.126e-02	-8.990e-02	-1.202e-01	-1.517e-01
 2.6	-1.184e-02	-7.606e-02	-1.586e-01	-2.641e-01	-3.916e-01	-5.346e-01	-6.855e-01
 2.7	-2.042e-02	-1.052e-01	-2.105e-01	-3.321e-01	-4.793e-01	-6.563e-01	-8.617e-01
 2.8	-4.541e-02	-1.484e-01	-2.735e-01	-4.090e-01	-5.518e-01	-7.029e-01	-8.631e-01
 2.9	-4.966e-02	-1.542e-01	-3.108e-01	-5.059e-01	-7.211e-01	-9.375e-01	-1.143e+00
 3.0	-4.191e-02	-1.688e-01	-3.621e-01	-6.089e-01	-8.703e-01	-1.102e+00	-1.275e+00
 3.1	-2.628e-02	-1.766e-01	-3.747e-01	-5.959e-01	-8.143e-01	-1.009e+00	-1.168e+00
 3.2	-8.156e-02	-3.166e-01	-6.244e-01	-9.341e-01	-1.192e+00	-1.377e+00	-1.489e+00
 3.3	-1.239e-01	-3.908e-01	-7.067e-01	-1.012e+00	-1.279e+00	-1.500e+00	-1.678e+00
 3.4	-1.040e-01	-3.131e-01	-5.343e-01	-7.514e-01	-9.644e-01	-1.171e+00	-1.361e+00
 3.5	7.668e-03	1.773e-01	9.250e-01	1.881e+00	2.188e+00	1.906e+00	1.540e+00
 3.6	1.094e-01	2.874e-01	6.173e-01	1.104e+00	1.664e+00	2.165e+00	2.520e+00
 3.7	1.382e-01	2.424e-01	4.539e-01	8.149e-01	1.349e+00	2.039e+00	2.808e+00
 3.8	1.328e-02	-4.145e-02	-8.484e-02	-1.017e-01	-9.082e-02	-4.355e-02	5.908e-02
 3.9	4.662e-02	1.603e-02	1.219e-03	7.086e-03	3.514e-02	9.939e-02	2.229e-01
 4.0	-1.594e-04	-4.439e-02	-1.040e-01	-1.709e-01	-2.329e-01	-2.734e-01	-2.728e-01
 4.1	2.131e-02	-1.585e-02	-1.108e-01	-2.449e-01	-4.047e-01	-5.785e-01	-7.586e-01
 4.2	8.840e-03	8.383e-03	-1.235e-02	-3.425e-02	-3.347e-02	-1.222e-03	6.513e-02
 4.3	-6.184e-03	1.040e-03	-4.501e-02	-1.449e-01	-2.770e-01	-4.181e-01	-5.539e-01
 4.4	-1.183e-01	-2.012e-01	-3.830e-01	-6.693e-01	-1.030e+00	-1.439e+00	-1.872e+00
 4.5	-1.194e-01	-1.971e-01	-2.662e-01	-3.404e-01	-4.367e-01	-5.687e-01	-7.420e-01
 5.0	-6.057e-01	-1.152e+00	-1.531e+00	-1.748e+00	-1.829e+00	-1.813e+00	-1.728e+00
 5.5	-4.847e-01	-8.065e-01	-1.056e+00	-1.228e+00	-1.318e+00	-1.334e+00	-1.283e+00
 6.0	-6.706e-01	-1.084e+00	-1.310e+00	-1.422e+00	-1.469e+00	-1.482e+00	-1.474e+00
