time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	6.714e-01	1.255e+00	1.815e+00	2.369e+00	2.916e+00	3.456e+00	3.986e+00
 0.1	6.861e-01	1.275e+00	1.830e+00	2.369e+00	2.891e+00	3.395e+00	3.880e+00
 0.2	6.976e-01	1.290e+00	1.838e+00	2.364e+00	2.870e+00	3.354e+00	3.814e+00
 0.3	7.027e-01	1.293e+00	1.834e+00	2.352e+00	2.850e+00	3.323e+00	3.765e+00
 0.4	7.091e-01	1.305e+00	1.849e+00	2.370e+00	2.869e+00	3.341e+00	3.781e+00
 0.5	7.171e-01	1.323e+00	1.878e+00	2.413e+00	2.937e+00	3.447e+00	3.938e+00
 0.6	7.230e-01	1.334e+00	1.890e+00	2.427e+00	2.956e+00	3.475e+00	3.978e+00
 0.7	7.290e-01	1.351e+00	1.917e+00	2.464e+00	3.009e+00	3.551e+00	4.085e+00
 0.8	7.301e-01	1.357e+00	1.923e+00	2.466e+00	3.003e+00	3.537e+00	4.065e+00
 0.9	7.268e-01	1.349e+00	1.905e+00	2.433e+00	2.955e+00	3.476e+00	3.993e+00
 1.0	7.210e-01	1.337e+00	1.876e+00	2.377e+00	2.867e+00	3.355e+00	3.843e+00
 1.1	7.104e-01	1.307e+00	1.806e+00	2.229e+00	2.582e+00	2.856e+00	3.048e+00
 1.2	7.011e-01	1.283e+00	1.761e+00	2.173e+00	2.547e+00	2.899e+00	3.231e+00
 1.3	6.921e-01	1.258e+00	1.708e+00	2.070e+00	2.370e+00	2.621e+00	2.831e+00
 1.4	6.740e-01	1.221e+00	1.657e+00	2.020e+00	2.364e+00	2.775e+00	3.381e+00
 1.5	7.367e-01	1.499e+00	2.398e+00	3.383e+00	4.329e+00	5.174e+00	5.913e+00
 1.6	7.375e-01	1.539e+00	2.510e+00	3.561e+00	4.576e+00	5.500e+00	6.321e+00
 1.7	7.140e-01	1.441e+00	2.282e+00	3.208e+00	4.121e+00	4.962e+00	5.717e+00
 1.8	6.870e-01	1.340e+00	2.029e+00	2.777e+00	3.549e+00	4.308e+00	5.031e+00
 1.9	6.305e-01	1.145e+00	1.557e+00	1.889e+00	2.164e+00	2.402e+00	2.620e+00
 2.0	6.195e-01	1.119e+00	1.515e+00	1.826e+00	2.077e+00	2.286e+00	2.475e+00
 2.1	6.091e-01	1.091e+00	1.459e+00	1.733e+00	1.933e+00	2.080e+00	2.193e+00
 2.2	6.006e-01	1.070e+00	1.419e+00	1.666e+00	1.829e+00	1.929e+00	1.987e+00
 2.3	5.954e-01	1.063e+00	1.422e+00	1.696e+00	1.901e+00	2.055e+00	2.171e+00
 2.4	5.915e-01	1.055e+00	1.415e+00	1.697e+00	1.920e+00	2.100e+00	2.248e+00
 2.5	5.876e-01	1.044e+00	1.393e+00	1.655e+00	1.851e+00	1.995e+00	2.102e+00
 2.6	5.845e-01	1.035e+00	1.372e+00	1.614e+00	1.774e+00	1.870e+00	1.917e+00
 2.7	5.850e-01	1.034e+00	1.369e+00	1.609e+00	1.770e+00	1.865e+00	1.907e+00
 2.8	5.952e-01	1.060e+00	1.416e+00	1.689e+00	1.901e+00	2.070e+00	2.211e+00
 2.9	5.877e-01	1.040e+00	1.372e+00	1.600e+00	1.743e+00	1.818e+00	1.845e+00
 3.0	5.753e-01	1.017e+00	1.334e+00	1.539e+00	1.650e+00	1.690e+00	1.686e+00
 3.1	5.690e-01	1.007e+00	1.320e+00	1.518e+00	1.617e+00	1.641e+00	1.613e+00
 3.2	5.665e-01	1.004e+00	1.321e+00	1.534e+00	1.672e+00	1.773e+00	1.874e+00
 3.3	5.670e-01	1.005e+00	1.333e+00	1.593e+00	1.838e+00	2.097e+00	2.365e+00
 3.4	5.725e-01	1.012e+00	1.349e+00	1.634e+00	1.916e+00	2.205e+00	2.488e+00
 3.5	5.311e-01	8.785e-01	1.139e+00	1.314e+00	1.406e+00	1.446e+00	1.467e+00
 3.6	4.155e-01	7.076e-01	9.593e-01	1.175e+00	1.353e+00	1.505e+00	1.645e+00
 3.7	4.377e-01	8.061e-01	1.124e+00	1.345e+00	1.427e+00	1.405e+00	1.355e+00
 3.8	4.493e-01	8.500e-01	1.216e+00	1.540e+00	1.807e+00	2.010e+00	2.155e+00
 3.9	4.469e-01	8.469e-01	1.206e+00	1.519e+00	1.782e+00	1.996e+00	2.166e+00
 4.0	4.507e-01	8.654e-01	1.264e+00	1.674e+00	2.125e+00	2.635e+00	3.189e+00
 4.1	4.519e-01	8.649e-01	1.257e+00	1.640e+00	2.020e+00	2.394e+00	2.759e+00
 4.2	4.637e-01	8.890e-01	1.294e+00	1.694e+00	2.104e+00	2.527e+00	2.958e+00
 4.3	4.717e-01	9.053e-01	1.310e+00	1.685e+00	2.027e+00	2.332e+00	2.605e+00
 4.4	4.789e-01	9.189e-01	1.323e+00	1.687e+00	2.004e+00	2.268e+00	2.483e+00
 4.5	4.844e-01	9.221e-01	1.307e+00	1.614e+00	1.809e+00	1.889e+00	1.889e+00
 5.0	5.038e-01	9.167e-01	1.225e+00	1.435e+00	1.579e+00	1.695e+00	1.808e+00
 5.5	5.132e-01	9.178e-01	1.198e+00	1.363e+00	1.450e+00	1.503e+00	1.555e+00
 6.0	5.442e-01	9.483e-01	1.208e+00	1.361e+00	1.458e+00	1.532e+00	1.601e+00
