time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	1.538e+00	3.073e+00	4.606e+00	6.137e+00	7.666e+00	9.194e+00	1.072e+01
 0.1	1.503e+00	3.001e+00	4.495e+00	5.985e+00	7.470e+00	8.952e+00	1.043e+01
 0.2	1.448e+00	2.895e+00	4.341e+00	5.786e+00	7.229e+00	8.671e+00	1.011e+01
 0.3	1.504e+00	3.005e+00	4.503e+00	5.997e+00	7.489e+00	8.978e+00	1.047e+01
 0.4	1.454e+00	2.900e+00	4.340e+00	5.774e+00	7.205e+00	8.632e+00	1.006e+01
 0.5	1.458e+00	2.914e+00	4.368e+00	5.820e+00	7.271e+00	8.721e+00	1.017e+01
 0.6	1.511e+00	3.023e+00	4.535e+00	6.047e+00	7.559e+00	9.071e+00	1.058e+01
 0.7	1.474e+00	2.946e+00	4.418e+00	5.889e+00	7.360e+00	8.830e+00	1.030e+01
 0.8	1.431e+00	2.863e+00	4.295e+00	5.729e+00	7.164e+00	8.599e+00	1.003e+01
 0.9	1.510e+00	3.020e+00	4.531e+00	6.043e+00	7.554e+00	9.066e+00	1.058e+01
 1.0	1.509e+00	3.018e+00	4.528e+00	6.037e+00	7.546e+00	9.054e+00	1.056e+01
 1.1	1.496e+00	2.989e+00	4.479e+00	5.966e+00	7.451e+00	8.935e+00	1.042e+01
 1.2	1.488e+00	2.971e+00	4.451e+00	5.926e+00	7.399e+00	8.869e+00	1.034e+01
 1.3	1.267e+00	2.533e+00	3.800e+00	5.066e+00	6.332e+00	7.598e+00	8.864e+00
 1.4	1.317e+00	2.629e+00	3.935e+00	5.238e+00	6.539e+00	7.839e+00	9.137e+00
 1.5	1.396e+00	2.791e+00	4.187e+00	5.582e+00	6.977e+00	8.373e+00	9.768e+00
 1.6	1.455e+00	2.909e+00	4.363e+00	5.816e+00	7.269e+00	8.722e+00	1.017e+01
 1.7	1.429e+00	2.857e+00	4.283e+00	5.708e+00	7.132e+00	8.554e+00	9.975e+00
 1.8	1.406e+00	2.811e+00	4.216e+00	5.620e+00	7.024e+00	8.427e+00	9.830e+00
 1.9	1.410e+00	2.818e+00	4.224e+00	5.629e+00	7.033e+00	8.435e+00	9.837e+00
 2.0	1.406e+00	2.811e+00	4.213e+00	5.614e+00	7.013e+00	8.411e+00	9.808e+00
